"country","continent","gdpPercap","lifeExp","pop"
"Niger","Africa",688018.0,38.0,18672191830
"Nigeria","Africa",4078579.0,96.0,161510137856
"North Macedonia","Europe",10043190.0,2695.0,1595318326
"Norway","Europe",49701644.0,18673.0,4192137443
"Oman","Asia",29153825.0,1021.0,4011552768
"Pakistan","Asia",3861621.0,2821.0,172728345543
"Palestine","Asia",3373023.0,572.0,3958849048
"Panama","North America",16789346.0,2372.0,3303713582
"Papua New Guinea","Oceania",2840633.0,44.0,6775420715
"Paraguay","South America",6673220.0,1921.0,5458048596
"Peru","South America",9263186.0,13292.0,25253077155
"Philippines","Asia",6026156.0,3395.0,88060199630
"Poland","Europe",20657282.0,13407.0,28687923000
"Portugal","Europe",21287915.0,16105.0,7747957326
"Qatar","Asia",89221863.0,6260.0,2235989812
"Romania","Europe",17857910.0,10879.0,14651873352
"Russia","Europe",19614636.0,8360.0,115562321424
"Rwanda","Africa",1388804.0,494.0,9944111233
"Saint Kitts and Nevis","North America",18194936.0,2352.0,39516948
"Saint Lucia","North America",9700927.0,3009.0,138116349
"Saint Vincent and the Grenadines","North America",8034632.0,1470.0,83340481
"Samoa","Oceania",3010779.0,966.0,100072000
"San Marino","Europe",43385302.0,2037.0,25949630
"Sao Tome and Principe","Africa",2216270.0,353.0,162162264
"Saudi Arabia","Asia",37323558.0,12213.0,26894257480
"Senegal","Africa",1887523.0,101.0,13137979312
"Serbia","Europe",10761443.0,6733.0,5263605002
"Seychelles","Africa",19733951.0,3338.0,73984680
"Sierra Leone","Africa",1017700.0,87.0,5959463076
"Singapore","Asia",68428306.0,23829.0,4362880000
"Sint Maarten (Dutch part)","North America",11733696.0,2206.0,14024983
"Slovakia","Europe",22827450.0,2006.0,4125097390
"Slovenia","Europe",24806664.0,15862.0,1642191170
"Solomon Islands","Oceania",1184581.0,185.0,378045315
"South Africa","Africa",9651478.0,3512.0,47132966860
"South Korea","Asia",28786638.0,17182.0,41095452384
"South Sudan","Africa",1141309.0,30.0,8274261079
"Spain","Europe",27109437.0,14070.0,36975461901
"Sri Lanka","Asia",9288585.0,12229.0,17111855576
"Sudan","Africa",3349880.0,34.0,33682013250
"Suriname","South America",10311572.0,4611.0,443256702
"Sweden","Europe",37136883.0,2922.0,8036685769
"Switzerland","Europe",44033597.0,18523.0,6684783898
"Tajikistan","Asia",2030736.0,685.0,6834487125
"Tanzania","Africa",2004428.0,30.0,45939333186
"Thailand","Asia",13331413.0,11601.0,57289741236
"Timor","Asia",4868446.0,926.0,995811375
"Togo","Africa",1085228.0,185.0,6434985678
"Tonga","Oceania",1882690.0,757.0,37045373
