country,continent,gdpPercap,lifeExp,pop
Marshall Islands,Oceania,"3,819",,"31,060,978"
Mauritania,Africa,"3,598",10,"3,576,557,390"
Mauritius,Africa,"20,293",51,"948,703,860"
Mexico,North America,"17,336",26,"107,075,544,840"
Micronesia (country),Oceania,"3,299",,"50,687,180"
Moldova,Europe,"5,190",16,"3,038,138,875"
Monaco,Europe,,41,"30,153,760"
Mongolia,Asia,"11,841",56,"2,506,949,346"
Montenegro,Europe,"16,409",29,"468,526,046"
Montserrat,North America,,25,"3,710,845"
Morocco,Africa,"7,485",27,"29,315,657,795"
Mozambique,Africa,"1,136",13,"23,832,816,345"
Myanmar,Asia,"5,592",23,"40,337,226,304"
Namibia,Africa,"9,542",3,"1,937,920,656"
Nauru,Oceania,"12,896",54,"3,783,804"
Nepal,Asia,"2,443",23,"23,680,586,160"
Netherlands,Europe,"48,473",46,"13,137,416,910"
New Caledonia,Oceania,,34,"214,433,448"
New Zealand,Oceania,"36,086",37,"3,916,493,200"
Nicaragua,North America,"5,321",33,"4,986,569,976"
Niger,Africa,926,2,"18,672,191,830"
Nigeria,Africa,"5,338",1,"161,510,137,856"
Niue,Oceania,,60,"429,324"
North Macedonia,Europe,"13,111",21,"1,595,318,326"
Northern Cyprus,Asia,,31,
Norway,Europe,"64,800",42,"4,192,137,443"
Oman,Asia,"37,961",15,"4,011,552,768"
Pakistan,Asia,"5,035",21,"172,728,345,543"
Palau,Oceania,"13,240",,"4,052,802"
Palestine,Asia,"4,450",10,"3,958,849,048"
Panama,North America,"22,267",30,"3,303,713,582"
Papua New Guinea,Oceania,"3,823",2,"6,775,420,715"
Paraguay,South America,"8,827",9,"5,458,048,596"
Peru,South America,"12,237",32,"25,253,077,155"
Philippines,Asia,"7,599",19,"88,060,199,630"
Pitcairn,Oceania,,80,"3,995"
Poland,Europe,"27,216",37,"28,687,923,000"
Portugal,Europe,"27,937",47,"7,747,957,326"
Puerto Rico,North America,"35,045",,"2,146,638,714"
Qatar,Asia,"116,936",49,"2,235,989,812"
Romania,Europe,"23,313",25,"14,651,873,352"
Russia,Europe,"24,766",25,"115,562,321,424"
Rwanda,Africa,"1,854",14,"9,944,111,233"
Saint Helena,Africa,,25,"3,486,340"
Saint Kitts and Nevis,North America,"24,654",37,"39,516,948"
Saint Lucia,North America,"12,952",19,"138,116,349"
Saint Pierre and Miquelon,North America,,,"4,195,517"
Saint Vincent and the Grenadines,North America,"10,727",19,"83,340,481"
Samoa,Oceania,"6,022",34,"100,072,000"
San Marino,Europe,"56,861",38,"25,949,630"
Sao Tome and Principe,Africa,"3,053",12,"162,162,264"
Saudi Arabia,Asia,"49,045",50,"26,894,257,480"
Senegal,Africa,"2,471",3,"13,137,979,312"
Serbia,Europe,"14,049",33,"5,263,605,002"
Seychelles,Africa,"26,382",49,"73,984,680"
Sierra Leone,Africa,"1,390",3,"5,959,463,076"
Singapore,Asia,"85,535",53,"4,362,880,000"
Sint Maarten (Dutch part),North America,"36,327",50,"14,024,983"
Slovakia,Europe,"30,155",32,"4,125,097,390"
Slovenia,Europe,"31,401",35,"1,642,191,170"
Solomon Islands,Oceania,"2,206",7,"378,045,315"
Somalia,Africa,,2,"12,220,546,500"
South Africa,Africa,"12,295",15,"47,132,966,860"
South Korea,Asia,"35,938",43,"41,095,452,384"
South Sudan,Africa,"1,570",1,"8,274,261,079"
Spain,Europe,"34,272",49,"36,975,461,901"
Sri Lanka,Asia,"11,669",42,"17,111,855,576"
Sudan,Africa,"4,467",2,"33,682,013,250"
Suriname,South America,"13,767",22,"443,256,702"
Sweden,Europe,"46,949",44,"8,036,685,769"
Switzerland,Europe,"57,410",40,"6,684,783,898"
Syria,Asia,,4,"13,542,296,664"
Taiwan,Asia,,36,"19,250,991,456"
Tajikistan,Asia,"2,897",14,"6,834,487,125"
Tanzania,Africa,"2,683",2,"45,939,333,186"
Thailand,Asia,"16,278",33,"57,289,741,236"
Timor,Asia,"6,570",23,"995,811,375"
Togo,Africa,"1,430",7,"6,434,985,678"
Tokelau,Oceania,,71,"155,952"
Tonga,Oceania,"5,426",38,"37,045,373"
Trinidad and Tobago,North America,"28,763",31,"1,051,127,126"
Tunisia,Africa,"10,849",28,"9,059,244,876"
Turkey,Asia,"25,129",38,"63,952,137,472"
Turkmenistan,Asia,"16,389",35,"1,162,407,270"
Turks and Caicos Islands,North America,,58,"28,831,110"
Tuvalu,Oceania,"3,575",36,"2,134,575"
Uganda,Africa,"1,698",3,"34,965,661,486"
Ukraine,Europe,"7,894",13,"33,034,784,720"
United Arab Emirates,Asia,"67,293",82,"7,932,919,902"
United Kingdom,Europe,"39,753",47,"54,020,034,288"
United States,North America,"54,225",43,"266,664,974,274"
Uruguay,South America,"20,551",61,"2,613,864,000"
Uzbekistan,Asia,"6,253",16,"25,383,952,220"
Vanuatu,Oceania,"2,922",11,"159,747,712"
Vatican,Europe,,,"614,684"
Venezuela,South America,"16,745",27,"21,500,005,303"
Vietnam,Asia,"6,172",16,"78,535,063,200"
Wallis and Futuna,Oceania,,43,"5,879,820"
Yemen,Asia,"1,479",1,"22,014,241,358"
Zambia,Africa,"3,689",4,"14,095,889,465"
Zimbabwe,Africa,"1,900",13,"11,213,483,053"
