"country","continent","gdpPercap","lifeExp","pop"
"Afghanistan","Asia",1804.0,5.0,39835428
"Albania","Europe",11803.0,23.0,2872934
"Algeria","Africa",13914.0,11.0,44616626
"Angola","Africa",5819.0,7.0,33933611
"Antigua and Barbuda","America",21491.0,38.0,98728
"Argentina","South America",18934.0,34.0,45605823
"Armenia","Asia",8788.0,13.0,2968128
"Aruba","North America",35974.0,61.0,107195
"Australia","Oceania",44649.0,39.0,25788217
"Austria","Europe",45437.0,43.0,9043072
"Azerbaijan","Asia",15847.0,29.0,10223344
"Bahamas","North America",27718.0,23.0,396914
"Bahrain","Asia",43291.0,53.0,1748295
"Bangladesh","Asia",3524.0,15.0,166303494
"Barbados","North America",16978.0,38.0,287708
"Belarus","Europe",17168.0,22.0,9442867
"Belgium","Europe",42659.0,46.0,11632334
"Belize","North America",7824.0,22.0,404915
"Benin","Africa",2064.0,7.0,12451031
"Bermuda","North America",50669.0,54.0,62092
"Bhutan","Asia",8709.0,58.0,779900
"Bolivia","South America",6886.0,22.0,11832936
"Bosnia and Herzegovina","Europe",11714.0,9.0,3263459
"Botswana","Africa",15807.0,16.0,2397240
"Brazil","South America",14103.0,35.0,213993441
"Brunei","Asia",71809.0,37.0,441532
"Bulgaria","Europe",18563.0,15.0,6896655
"Burkina Faso","Africa",1703.0,3.0,21497097
"Burundi","Africa",702.0,0.0,12255429
"Cambodia","Asia",3645.0,47.0,16946446
"Cameroon","Africa",3365.0,1.0,27224262
"Canada","North America",44018.0,43.0,38067913
"Cape Verde","Africa",6223.0,24.0,561901
"Cayman Islands","North America",49903.0,58.0,66498
"Central African Republic","Africa",661.0,9.0,4919987
"Chad","Africa",1768.0,0.0,16914985
"Chile","South America",22767.0,57.0,19212362
"China","Asia",15309.0,79.0,1444216102
"Colombia","South America",13255.0,31.0,51265841
"Comoros","Africa",1414.0,18.0,888456
"Congo","Africa",4881.0,4.0,5657017
"Costa Rica","North America",15525.0,32.0,5139053
"Cote d'Ivoire","Africa",3601.0,7.0,27053629
"Croatia","Europe",22670.0,32.0,4081657
"Cyprus","Europe",32415.0,47.0,896005
"Czechia","Europe",32606.0,37.0,10724553
"Democratic Republic of Congo","Africa",808.0,0.0,92377986
"Denmark","Europe",46683.0,48.0,5813302
"Djibouti","Africa",2705.0,6.0,1002197
"Dominica","North America",9673.0,31.0,72172
"Dominican Republic","North America",14601.0,40.0,10953714
"Ecuador","South America",10582.0,36.0,17888474
"Egypt","Africa",10550.0,10.0,104258327
"El Salvador","North America",7292.0,36.0,6518500
"Equatorial Guinea","Africa",22605.0,9.0,1449891
"Estonia","Europe",29481.0,37.0,1325188
"Eswatini","Africa",7739.0,14.0,1172369
"Ethiopia","Africa",1730.0,17.0,117876226
"Fiji","Oceania",8703.0,45.0,902899
"Finland","Europe",40586.0,52.0,5548361
"France","Europe",38606.0,43.0,67422000
"Gabon","Africa",16562.0,3.0,2278829
"Gambia","Africa",1562.0,7.0,2486937
"Georgia","Asia",9745.0,18.0,3979773
"Germany","Europe",45229.0,42.0,83900471
"Ghana","Africa",4228.0,5.0,31732128
"Greece","Europe",24574.0,44.0,10370747
"Grenada","North America",13594.0,19.0,113015
"Guatemala","North America",7424.0,12.0,18249868
"Guinea","Africa",1999.0,4.0,13497237
"Guinea-Bissau","Africa",1549.0,4.0,2015490
"Guyana","South America",7435.0,27.0,790329
"Haiti","North America",1653.0,0.0,11541683
"Honduras","North America",4542.0,19.0,10062994
"Hong Kong","Asia",56055.0,40.0,7552800
"Hungary","Europe",26778.0,40.0,9634162
"Iceland","Europe",46483.0,42.0,368792
"India","Asia",6427.0,21.0,1393409033
"Indonesia","Asia",11189.0,20.0,276361788
"Iran","Asia",19083.0,45.0,85028760
"Iraq","Asia",15664.0,11.0,41179351
"Ireland","Europe",67335.0,46.0,4982904
"Israel","Asia",33132.0,52.0,9291000
"Italy","Europe",35220.0,45.0,60367471
"Jamaica","North America",8194.0,16.0,2973462
"Japan","Asia",39002.0,39.0,126050796
"Jordan","Asia",8337.0,27.0,10269022
"Kazakhstan","Asia",24056.0,30.0,18994958
"Kenya","Africa",2993.0,5.0,54985702
"Kiribati","Oceania",1981.0,20.0,121388
"Kosovo","Europe",9796.0,34.0,1782115
"Kuwait","Asia",65531.0,61.0,4328553
"Kyrgyzstan","Asia",3393.0,12.0,6628347
"Laos","Asia",6397.0,22.0,7379358
"Latvia","Europe",25064.0,35.0,1866934
"Lebanon","Asia",13368.0,17.0,6769151
"Lesotho","Africa",2851.0,19.0,2159067
"Liberia","Africa",753.0,6.0,5180208
"Libya","Africa",17882.0,11.0,6958538
"Lithuania","Europe",29524.0,43.0,2689862
"Luxembourg","Europe",94278.0,3.0,634814
"Macao","Asia",104862.0,41.0,658391
"Madagascar","Africa",1416.0,2.0,28427333
"Malawi","Africa",1095.0,3.0,19647681
"Malaysia","Asia",26808.0,43.0,32776195
"Maldives","Asia",15184.0,50.0,543620
"Mali","Africa",2014.0,1.0,20855724
"Malta","Europe",36513.0,59.0,516100
"Mauritania","Africa",3598.0,10.0,4775110
"Mauritius","Africa",20293.0,51.0,1273428
"Mexico","North America",17336.0,26.0,130262220
"Moldova","Europe",5190.0,16.0,4024025
"Mongolia","Asia",11841.0,56.0,3329282
"Montenegro","Europe",16409.0,29.0,628051
"Morocco","Africa",7485.0,27.0,37344787
"Mozambique","Africa",1136.0,13.0,32163045
"Myanmar","Asia",5592.0,23.0,54806014
"Namibia","Africa",9542.0,3.0,2587344
"Nauru","Oceania",12896.0,54.0,10873
"Nepal","Asia",2443.0,23.0,29674920
"Netherlands","Europe",48473.0,46.0,17173094
"New Zealand","Oceania",36086.0,37.0,5126300
"Nicaragua","North America",5321.0,33.0,6702379
"Niger","Africa",926.0,2.0,25130810
"Nigeria","Africa",5338.0,1.0,211400704
