"country","continent","gdpPercap","lifeExp","pop"
"North Macedonia","Europe",13111.0,21.0,2082661
"Norway","Europe",64800.0,42.0,5465629
"Oman","Asia",37961.0,15.0,5223376
"Pakistan","Asia",5035.0,21.0,225199929
"Palestine","Asia",4450.0,10.0,5222756
"Panama","North America",22267.0,30.0,4381583
"Papua New Guinea","Oceania",3823.0,2.0,9119005
"Paraguay","South America",8827.0,9.0,7219641
"Peru","South America",12237.0,32.0,33359415
"Philippines","Asia",7599.0,19.0,111046910
"Poland","Europe",27216.0,37.0,37797000
"Portugal","Europe",27937.0,47.0,10167923
"Qatar","Asia",116936.0,49.0,2930524
"Romania","Europe",23313.0,25.0,19127772
"Russia","Europe",24766.0,25.0,145912022
"Rwanda","Africa",1854.0,14.0,13276517
"Saint Kitts and Nevis","North America",24654.0,37.0,53546
"Saint Lucia","North America",12952.0,19.0,184401
"Saint Vincent and the Grenadines","North America",10727.0,19.0,111269
"Samoa","Oceania",6022.0,34.0,200144
"San Marino","Europe",56861.0,38.0,34010
"Sao Tome and Principe","Africa",3053.0,12.0,223364
"Saudi Arabia","Asia",49045.0,50.0,35340680
"Senegal","Africa",2471.0,3.0,17196308
"Serbia","Europe",14049.0,33.0,6871547
"Seychelles","Africa",26382.0,49.0,98910
"Sierra Leone","Africa",1390.0,3.0,8141343
"Singapore","Asia",85535.0,53.0,5453600
"Sint Maarten (Dutch part)","North America",36327.0,50.0,43421
"Slovakia","Europe",30155.0,32.0,5449270
"Slovenia","Europe",31401.0,35.0,2078723
"Solomon Islands","Oceania",2206.0,7.0,703995
"South Africa","Africa",12295.0,15.0,60041996
"South Korea","Asia",35938.0,43.0,51305184
"South Sudan","Africa",1570.0,1.0,11381377
"Spain","Europe",34272.0,49.0,46745211
"Sri Lanka","Asia",11669.0,42.0,21497306
"Sudan","Africa",4467.0,2.0,44909351
"Suriname","South America",13767.0,22.0,591798
"Sweden","Europe",46949.0,44.0,10160159
"Switzerland","Europe",57410.0,40.0,8715494
"Tajikistan","Asia",2897.0,14.0,9749625
"Tanzania","Africa",2683.0,2.0,61498438
"Thailand","Asia",16278.0,33.0,69950844
"Timor","Asia",6570.0,23.0,1343875
"Togo","Africa",1430.0,7.0,8478242
"Tonga","Oceania",5426.0,38.0,106759
"Trinidad and Tobago","North America",28763.0,31.0,1403374
"Tunisia","Africa",10849.0,28.0,11935764
"Turkey","Asia",25129.0,38.0,85042736
"Turkmenistan","Asia",16389.0,35.0,6117933
"Tuvalu","Oceania",3575.0,36.0,11925
"Uganda","Africa",1698.0,3.0,47123533
"Ukraine","Europe",7894.0,13.0,43466822
"United Arab Emirates","Asia",67293.0,82.0,9991083
"United Kingdom","Europe",39753.0,47.0,68207114
"United States","North America",54225.0,43.0,332915074
"Uruguay","South America",20551.0,61.0,3485152
"Uzbekistan","Asia",6253.0,16.0,33935765
"Vanuatu","Oceania",2922.0,11.0,314464
"Venezuela","South America",16745.0,27.0,28704947
"Vietnam","Asia",6172.0,16.0,98168829
"Yemen","Asia",1479.0,1.0,30490639
"Zambia","Africa",3689.0,4.0,18920657
"Zimbabwe","Africa",1900.0,13.0,15092171
