,country,continent,gdpPercap,lifeExp,pop
111,Lebanon,Asia,10306393.0,6204.0,5219015421
112,Lesotho,Africa,1964444.0,230.0,1487597163
113,Liberia,Africa,561580.0,112.0,3864435168
114,Libya,Africa,13572065.0,817.0,5281530342
116,Lithuania,Europe,22527014.0,18846.0,2052364706
117,Luxembourg,Europe,72405477.0,220.0,487537152
118,Macao,Asia,83994343.0,10035.0,527371191
119,Madagascar,Africa,1052415.0,32.0,21121508419
120,Malawi,Africa,803761.0,526.0,14421397854
121,Malaysia,Asia,21419723.0,17393.0,26188179805
122,Maldives,Asia,11463630.0,13676.0,410433100
123,Mali,Africa,1486558.0,61.0,15391524312
124,Malta,Europe,27677099.0,24984.0,391203800
126,Mauritania,Africa,2694627.0,548.0,3576557390
127,Mauritius,Africa,15118095.0,1529.0,948703860
128,Mexico,North America,14250578.0,9622.0,107075544840
130,Moldova,Europe,3918429.0,3908.0,3038138875
132,Mongolia,Asia,8916157.0,14497.0,2506949346
133,Montenegro,Europe,12241329.0,9972.0,468526046
135,Morocco,Africa,5875735.0,5713.0,29315657795
136,Mozambique,Africa,841852.0,561.0,23832816345
137,Myanmar,Asia,4115415.0,843.0,40337226304
138,Namibia,Africa,7146814.0,330.0,1937920656
139,Nauru,Oceania,4487681.0,380.0,3783804
140,Nepal,Asia,1949358.0,3764.0,23680586160
141,Netherlands,Europe,37081497.0,2793.0,13137416910
143,New Zealand,Oceania,27569584.0,14902.0,3916493200
144,Nicaragua,North America,3959154.0,1054.0,4986569976
145,Niger,Africa,688018.0,38.0,18672191830
146,Nigeria,Africa,4078579.0,96.0,161510137856
148,North Macedonia,Europe,10043190.0,2695.0,1595318326
150,Norway,Europe,49701644.0,18673.0,4192137443
151,Oman,Asia,29153825.0,1021.0,4011552768
152,Pakistan,Asia,3861621.0,2821.0,172728345543
154,Palestine,Asia,3373023.0,572.0,3958849048
155,Panama,North America,16789346.0,2372.0,3303713582
156,Papua New Guinea,Oceania,2840633.0,44.0,6775420715
157,Paraguay,South America,6673220.0,1921.0,5458048596
158,Peru,South America,9263186.0,13292.0,25253077155
159,Philippines,Asia,6026156.0,3395.0,88060199630
161,Poland,Europe,20657282.0,13407.0,28687923000
162,Portugal,Europe,21287915.0,16105.0,7747957326
164,Qatar,Asia,89221863.0,6260.0,2235989812
165,Romania,Europe,17857910.0,10879.0,14651873352
166,Russia,Europe,19614636.0,8360.0,115562321424
167,Rwanda,Africa,1388804.0,494.0,9944111233
169,Saint Kitts and Nevis,North America,18194936.0,2352.0,39516948
170,Saint Lucia,North America,9700927.0,3009.0,138116349
172,Saint Vincent and the Grenadines,North America,8034632.0,1470.0,83340481
173,Samoa,Oceania,3010779.0,966.0,100072000
174,San Marino,Europe,43385302.0,2037.0,25949630
175,Sao Tome and Principe,Africa,2216270.0,353.0,162162264
176,Saudi Arabia,Asia,37323558.0,12213.0,26894257480
177,Senegal,Africa,1887523.0,101.0,13137979312
178,Serbia,Europe,10761443.0,6733.0,5263605002
179,Seychelles,Africa,19733951.0,3338.0,73984680
180,Sierra Leone,Africa,1017700.0,87.0,5959463076
181,Singapore,Asia,68428306.0,23829.0,4362880000
182,Sint Maarten (Dutch part),North America,11733696.0,2206.0,14024983
183,Slovakia,Europe,22827450.0,2006.0,4125097390
184,Slovenia,Europe,24806664.0,15862.0,1642191170
185,Solomon Islands,Oceania,1184581.0,185.0,378045315
187,South Africa,Africa,9651478.0,3512.0,47132966860
188,South Korea,Asia,28786638.0,17182.0,41095452384
189,South Sudan,Africa,1141309.0,30.0,8274261079
190,Spain,Europe,27109437.0,14070.0,36975461901
191,Sri Lanka,Asia,9288585.0,12229.0,17111855576
192,Sudan,Africa,3349880.0,34.0,33682013250
193,Suriname,South America,10311572.0,4611.0,443256702
194,Sweden,Europe,37136883.0,2922.0,8036685769
195,Switzerland,Europe,44033597.0,18523.0,6684783898
198,Tajikistan,Asia,2030736.0,685.0,6834487125
199,Tanzania,Africa,2004428.0,30.0,45939333186
200,Thailand,Asia,13331413.0,11601.0,57289741236
201,Timor,Asia,4868446.0,926.0,995811375
202,Togo,Africa,1085228.0,185.0,6434985678
204,Tonga,Oceania,1882690.0,757.0,37045373
205,Trinidad and Tobago,North America,21543540.0,10323.0,1051127126
206,Tunisia,Africa,8234616.0,7948.0,9059244876
207,Turkey,Asia,18897264.0,15480.0,63952137472
208,Turkmenistan,Asia,3113914.0,105.0,1162407270
210,Tuvalu,Oceania,639944.0,146.0,2134575
211,Uganda,Africa,1259699.0,56.0,34965661486
212,Ukraine,Europe,5999739.0,4420.0,33034784720
213,United Arab Emirates,Asia,53431026.0,14846.0,7932919902
214,United Kingdom,Europe,31484569.0,20717.0,54020034288
215,United States,North America,43434582.0,20205.0,266664974274
216,Uruguay,South America,15413557.0,22398.0,2613864000
217,Uzbekistan,Asia,4677322.0,553.0,25383952220
218,Vanuatu,Oceania,1484330.0,229.0,159747712
220,Venezuela,South America,12542021.0,547.0,21500005303
221,Vietnam,Asia,4937507.0,2763.0,78535063200
223,Yemen,Asia,1067944.0,12.0,22014241358
224,Zambia,Africa,2748492.0,666.0,14095889465
225,Zimbabwe,Africa,1411533.0,4440.0,11213483053
