Country,Continent,Gdp Per Capita,People Fully Vaccinated Per Hundred,Population
Liberia,Africa,"561,580",112,"3,864,435,168"
Libya,Africa,"13,572,065",817,"5,281,530,342"
Liechtenstein,Europe,,"18,517","29,034,786"
Lithuania,Europe,"22,527,014","18,846","2,052,364,706"
Luxembourg,Europe,"72,405,477",220,"487,537,152"
Macao,Asia,"83,994,343","10,035","527,371,191"
Madagascar,Africa,"1,052,415",32,"21,121,508,419"
Malawi,Africa,"803,761",526,"14,421,397,854"
Malaysia,Asia,"21,419,723","17,393","26,188,179,805"
Maldives,Asia,"11,463,630","13,676","410,433,100"
Mali,Africa,"1,486,558",61,"15,391,524,312"
Malta,Europe,"27,677,099","24,984","391,203,800"
Marshall Islands,Oceania,"1,989,804",,"31,060,978"
Mauritania,Africa,"2,694,627",548,"3,576,557,390"
Mauritius,Africa,"15,118,095","1,529","948,703,860"
Mexico,North America,"14,250,578","9,622","107,075,544,840"
Micronesia (country),Oceania,"1,438,566",,"50,687,180"
Moldova,Europe,"3,918,429","3,908","3,038,138,875"
Monaco,Europe,,993,"30,153,760"
Mongolia,Asia,"8,916,157","14,497","2,506,949,346"
Montenegro,Europe,"12,241,329","9,972","468,526,046"
Montserrat,North America,,833,"3,710,845"
Morocco,Africa,"5,875,735","5,713","29,315,657,795"
Mozambique,Africa,"841,852",561,"23,832,816,345"
Myanmar,Asia,"4,115,415",843,"40,337,226,304"
Namibia,Africa,"7,146,814",330,"1,937,920,656"
Nauru,Oceania,"4,487,681",380,"3,783,804"
Nepal,Asia,"1,949,358","3,764","23,680,586,160"
Netherlands,Europe,"37,081,497","2,793","13,137,416,910"
New Caledonia,Oceania,,"1,886","214,433,448"
New Zealand,Oceania,"27,569,584","14,902","3,916,493,200"
Nicaragua,North America,"3,959,154","1,054","4,986,569,976"
Niger,Africa,"688,018",38,"18,672,191,830"
Nigeria,Africa,"4,078,579",96,"161,510,137,856"
Niue,Oceania,,241,"429,324"
North Macedonia,Europe,"10,043,190","2,695","1,595,318,326"
Northern Cyprus,Asia,,720,
Norway,Europe,"49,701,644","18,673","4,192,137,443"
Oman,Asia,"29,153,825","1,021","4,011,552,768"
Pakistan,Asia,"3,861,621","2,821","172,728,345,543"
Palau,Oceania,"2,952,610",,"4,052,802"
Palestine,Asia,"3,373,023",572,"3,958,849,048"
Panama,North America,"16,789,346","2,372","3,303,713,582"
Papua New Guinea,Oceania,"2,840,633",44,"6,775,420,715"
Paraguay,South America,"6,673,220","1,921","5,458,048,596"
Peru,South America,"9,263,186","13,292","25,253,077,155"
Philippines,Asia,"6,026,156","3,395","88,060,199,630"
Pitcairn,Oceania,,240,"3,995"
Poland,Europe,"20,657,282","13,407","28,687,923,000"
Portugal,Europe,"21,287,915","16,105","7,747,957,326"
Puerto Rico,North America,"26,598,905",,"2,146,638,714"
Qatar,Asia,"89,221,863","6,260","2,235,989,812"
Romania,Europe,"17,857,910","10,879","14,651,873,352"
Russia,Europe,"19,614,636","8,360","115,562,321,424"
Rwanda,Africa,"1,388,804",494,"9,944,111,233"
Saint Helena,Africa,,76,"3,486,340"
Saint Kitts and Nevis,North America,"18,194,936","2,352","39,516,948"
Saint Lucia,North America,"9,700,927","3,009","138,116,349"
Saint Pierre and Miquelon,North America,,,"4,195,517"
Saint Vincent and the Grenadines,North America,"8,034,632","1,470","83,340,481"
Samoa,Oceania,"3,010,779",966,"100,072,000"
San Marino,Europe,"43,385,302","2,037","25,949,630"
Sao Tome and Principe,Africa,"2,216,270",353,"162,162,264"
Saudi Arabia,Asia,"37,323,558","12,213","26,894,257,480"
Senegal,Africa,"1,887,523",101,"13,137,979,312"
Serbia,Europe,"10,761,443","6,733","5,263,605,002"
Seychelles,Africa,"19,733,951","3,338","73,984,680"
Sierra Leone,Africa,"1,017,700",87,"5,959,463,076"
Singapore,Asia,"68,428,306","23,829","4,362,880,000"
Sint Maarten (Dutch part),North America,"11,733,696","2,206","14,024,983"
Slovakia,Europe,"22,827,450","2,006","4,125,097,390"
Slovenia,Europe,"24,806,664","15,862","1,642,191,170"
Solomon Islands,Oceania,"1,184,581",185,"378,045,315"
Somalia,Africa,,91,"12,220,546,500"
South Africa,Africa,"9,651,478","3,512","47,132,966,860"
